season,Team,team_id,conference,max_player,champion_share,champion,Rk,rk_season,Arena,rk_conference,top_3_conference,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,offensive_eFG%,offensive_TOV%,offensive_ORB%,offensive_FT/FGA,defensive_eFG%,defensive_TOV%,defensive_DRB%,defensive_FT/FGA,Attend.,Attend./G,make_playoffs,overall_record,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,opp_G,opp_MP,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_2P,opp_2PA,opp_2P%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_DRB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF,opp_PTS,pso,over500_rec,over600_rec,sum_wins_20pts_or_more,rec_5pt_or_less,sum_games_5pts_or_less,home_rec,road_rec,3pt_or_less_rec,10pt_or_more_rec,pre_all_star_rec,post_all_star_rec,e_conf_rec,w_conf_rec,sum_mvp_shares,sum_dpoy_shares,sum_roy_shares,sum_smoy_shares,sum_mip_shares,sum_cpoy_shares,sum_all_nba,sum_all_defense,sum_all_rookie,sum_mvps_won,sum_dpoys_won,sum_roys_won,sum_mips_won,sum_cpoys_won,sum_all_nba_1st,sum_all_def_1st,sum_playoff_games,sum_mvp_shares_L3S,sum_mvp_shares_L5S,sum_champion_shares,sum_champions,sum_player_L1S_cs,sum_player_L3S_cs,sum_player_L5S_cs,sum_player_L8S_cs,sum_all_nba_1st_L5S,team_rating_custom,max_player_rating_custom,sum_coach_playoff_games,sum_coy_shares,conference_5pt_or_less_rec,conference_OR,conference_SRS,conference_age,sum_franchise_L1S_cs,sum_franchise_L3S_cs,sum_franchise_L5S_cs,sum_franchise_L8S_cs,rank_offensive_eFG%,rank_2P%,rank_sum_all_nba_1st_L5S,rank_SRS,top_5_offensive_eFG%,top_3_2P%,top_5_sum_all_nba_1st_L5S,top_6_SRS
2024,Boston Celtics,2,East,Jayson Tatum,1.0,1.0,1,1,TD Garden,1.0,1,28.2,64.0,18.0,66.0,16.0,11.34,-0.6,10.75,123.2,111.6,11.6,97.2,0.224,0.471,0.609,0.578,10.8,24.9,0.18,0.523,10.8,76.3,0.145,785396.0,19156.0,1,0.7804878048780488,82.0,241.8,43.9,90.2,0.487,16.5,42.5,0.388,27.4,47.7,0.575,16.3,20.2,0.807,10.7,35.6,46.3,26.9,6.8,6.6,11.9,16.2,120.6,82.0,241.8,41.5,91.6,0.453,12.9,36.7,0.352,28.6,55.0,0.52,13.3,17.3,0.768,11.1,32.3,43.3,24.9,6.2,3.7,12.0,17.3,109.2,450.0,0.6938775510204082,0.6,19.0,0.5263157894736842,19.0,0.902439024390244,0.6585365853658537,0.4615384615384615,0.8936170212765957,0.7818181818181819,0.7777777777777778,0.7884615384615384,0.7666666666666667,0.324,0.153,1.3840000000000001,0.002,0.40900000000000003,0.02,5.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,609.0,0.323,0.324,24.5,1.0,6.3125,15.25,18.1875,22.0,2.0,28.075477647058822,45.37262,,,0.47131129276640116,0.47154471544715443,-0.9813333333333333,26.453333333333333,0.6875,1.625,2.5625,3.9375,1.0,2.0,5.0,1.0,1,1,1,1
2024,Denver Nuggets,8,West,Nikola Jokić,0.4375,0.0,4,3,Ball Arena,1.0,1,27.1,57.0,25.0,54.0,28.0,5.26,-0.03,5.23,118.5,113.0,5.5,96.8,0.224,0.352,0.589,0.562,11.5,25.5,0.17,0.526,11.2,75.6,0.195,807062.0,19684.0,1,0.6951219512195121,82.0,240.3,44.0,88.8,0.496,11.7,31.2,0.374,32.3,57.5,0.562,15.1,19.9,0.762,10.7,33.7,44.4,29.5,7.1,5.6,12.6,18.2,114.9,82.0,240.3,40.6,87.9,0.462,11.2,31.5,0.355,29.4,56.4,0.522,17.1,22.2,0.772,10.9,31.4,42.3,25.7,7.0,4.8,12.4,17.9,109.6,450.0,0.5576923076923077,0.5263157894736842,11.0,0.5,22.0,0.8048780487804879,0.5853658536585366,0.5,0.7368421052631579,0.6545454545454545,0.7777777777777778,0.8,0.6346153846153846,2.738,0.678,0.107,0.078,0.802,0.01,8.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,444.0,2.51,2.738,21.4375,12.0,10.0,13.625,17.1875,17.5,3.0,15.292452352941178,66.24569000000001,68.0,0.388,0.5246162277620078,0.5284552845528455,0.9813333333333335,26.293333333333333,1.0,1.3125,2.3125,2.3125,7.0,7.0,4.0,4.0,0,1,1,1
2024,Oklahoma City Thunder,21,West,Shai Gilgeous-Alexander,0.375,0.0,2,3,Paycom Center,1.0,1,23.4,57.0,25.0,58.0,24.0,7.41,-0.05,7.36,119.5,112.1,7.4,99.8,0.24,0.383,0.608,0.573,11.4,21.1,0.198,0.53,13.6,73.8,0.202,715509.0,17451.0,1,0.6951219512195121,82.0,241.5,44.5,89.3,0.499,13.3,34.2,0.389,31.3,55.1,0.567,17.7,21.5,0.825,8.8,33.2,42.0,27.1,8.5,6.6,12.7,18.8,120.1,82.0,241.5,40.6,89.3,0.455,13.4,37.2,0.361,27.2,52.1,0.522,18.1,22.9,0.789,11.8,32.9,44.7,26.9,7.1,5.1,15.7,18.9,112.7,10000.0,0.6226415094339622,0.6842105263157895,17.0,0.5882352941176471,17.0,0.8048780487804879,0.5853658536585366,0.6666666666666666,0.7619047619047619,0.6851851851851852,0.7142857142857143,0.7,0.6923076923076923,0.046,0.0,0.496,0.002,0.643,0.062,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,0.046,0.046,3.1875,0.0,0.0,0.8125,2.25,3.1875,1.0,20.537233125,50.27273,0.0,0.328,0.5246162277620078,0.5284552845528455,0.9813333333333335,26.293333333333333,0.0,0.0,0.25,1.125,3.0,5.0,9.0,2.0,1,1,1,1
2024,Minnesota Timberwolves,18,West,Anthony Edwards,0.5625,0.0,3,6,Target Center,3.0,1,27.2,56.0,26.0,57.0,25.0,6.45,-0.07,6.39,115.6,109.0,6.6,97.1,0.27,0.384,0.594,0.559,13.0,23.2,0.209,0.515,12.9,76.9,0.197,720960.0,17584.0,1,0.6829268292682927,82.0,241.5,41.3,85.0,0.485,12.6,32.7,0.387,28.6,52.4,0.546,17.8,22.9,0.777,9.4,34.2,43.6,26.6,7.9,6.1,14.2,18.8,113.0,82.0,241.5,39.0,86.8,0.45,11.4,32.3,0.354,27.6,54.5,0.506,17.1,21.9,0.781,10.3,31.2,41.4,24.5,7.5,4.5,14.2,19.9,106.5,6600.0,0.6153846153846154,0.6,14.0,0.5714285714285714,21.0,0.7317073170731707,0.6341463414634146,0.5384615384615384,0.7619047619047619,0.7090909090909091,0.6296296296296297,0.6333333333333333,0.7115384615384616,0.010000000000000002,3.933,1.6260000000000001,0.0,0.5760000000000001,0.0,6.0,7.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,6.0,254.0,0.008,0.009000000000000001,9.125,1.0,1.8125,5.0,5.5625,7.25,0.0,18.253065625,31.285500000000003,11.0,0.008,0.5246162277620078,0.5284552845528455,0.9813333333333335,26.293333333333333,0.0625,0.1875,0.1875,0.25,10.0,16.0,11.0,3.0,0,1,1,1
2024,Los Angeles Clippers,13,West,Kawhi Leonard,0.125,0.0,7,7,Crypto.com Arena,4.0,0,30.4,51.0,31.0,49.0,33.0,3.28,0.13,3.41,118.8,115.4,3.4,97.2,0.256,0.383,0.599,0.561,12.0,24.4,0.211,0.541,11.7,74.8,0.183,776782.0,18946.0,1,0.6219512195121951,82.0,240.3,42.4,86.7,0.489,12.6,33.2,0.381,29.7,53.5,0.555,18.3,22.2,0.825,10.0,32.9,43.0,25.6,7.8,5.0,13.1,18.5,115.6,82.0,240.3,41.6,88.9,0.468,12.9,35.4,0.363,28.8,53.5,0.538,16.2,21.0,0.775,11.1,31.1,42.2,26.4,7.3,4.7,13.0,18.7,112.3,2200.0,0.5094339622641509,0.4444444444444444,9.0,0.5294117647058824,17.0,0.6097560975609756,0.6341463414634146,0.6,0.6222222222222222,0.6792452830188679,0.5172413793103449,0.7,0.5769230769230769,6.811999999999999,2.316,0.294,1.064,0.88,0.0,27.0,12.0,6.0,2.0,2.0,0.0,1.0,0.0,12.0,6.0,937.0,0.17300000000000001,1.6769999999999998,33.9375,4.0,1.6875,9.0,17.4375,24.1875,4.0,10.635555789473685,30.8323,85.0,0.019999999999999997,0.5246162277620078,0.5284552845528455,0.9813333333333335,26.293333333333333,0.0625,0.6875,1.25,1.5625,9.0,11.0,2.0,7.0,0,1,1,0
2024,New York Knicks,20,East,Jalen Brunson,0.4375,0.0,5,8,Madison Square Garden (IV),2.0,1,26.4,50.0,32.0,53.0,29.0,4.59,-0.23,4.36,118.2,113.4,4.8,95.2,0.246,0.404,0.574,0.54,11.9,29.4,0.192,0.543,12.3,76.1,0.176,808885.0,19729.0,1,0.6097560975609756,82.0,240.6,41.3,88.7,0.465,13.2,35.8,0.369,28.1,52.9,0.531,17.0,21.8,0.78,12.7,32.5,45.2,24.4,7.5,4.1,13.2,17.6,112.8,82.0,240.6,40.3,85.7,0.47,12.5,34.3,0.365,27.8,51.4,0.54,15.1,19.8,0.764,10.2,30.4,40.6,25.6,6.7,5.3,13.2,19.1,108.2,5000.0,0.42857142857142855,0.26666666666666666,13.0,0.5,18.0,0.6585365853658537,0.5609756097560976,0.5714285714285714,0.6666666666666666,0.6,0.6296296296296297,0.6730769230769231,0.5,0.021,0.016,0.002,0.14,1.251,0.156,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,266.0,0.021,0.021,13.75,3.0,3.875,8.375,12.1875,13.625,0.0,12.728952894736842,35.739005000000006,72.0,2.398,0.47131129276640116,0.47154471544715443,-0.9813333333333333,26.453333333333333,0.375,0.4375000000000001,0.4375,0.4375,16.0,22.0,11.0,6.0,0,1,1,1
2024,Dallas Mavericks,7,West,Luka Dončić,0.8125,0.0,14,8,American Airlines Center,5.0,0,26.5,50.0,32.0,46.0,36.0,2.21,0.09,2.3,117.6,115.4,2.2,100.1,0.251,0.441,0.592,0.562,11.2,22.2,0.19,0.548,12.1,75.2,0.184,828897.0,20217.0,1,0.6097560975609756,82.0,240.3,43.1,89.7,0.481,14.6,39.5,0.369,28.5,50.1,0.569,17.0,22.5,0.758,9.7,33.2,42.9,25.7,6.9,5.0,12.5,18.3,117.9,82.0,240.3,43.0,90.4,0.475,13.1,35.6,0.368,29.8,54.8,0.545,16.6,21.6,0.77,10.9,34.1,45.1,27.5,7.4,4.0,13.7,20.3,115.6,2500.0,0.4807692307692308,0.3333333333333333,9.0,0.6666666666666666,15.0,0.6097560975609756,0.6097560975609756,0.7142857142857143,0.5961538461538461,0.5818181818181818,0.6666666666666666,0.6333333333333333,0.5961538461538461,0.396,0.0,2.016,0.194,0.256,0.048,7.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,303.0,0.198,0.396,14.0625,3.0,0.0,6.3125,9.625,13.125,4.0,8.436082222222222,45.01198000000001,42.0,0.134,0.5246162277620078,0.5284552845528455,0.9813333333333335,26.293333333333333,0.0,0.75,0.875,0.9375,7.0,4.0,2.0,13.0,0,1,1,0
2024,Milwaukee Bucks,17,East,Giannis Antetokounmpo,0.125,0.0,12,11,Fiserv Forum,3.0,1,30.2,49.0,33.0,47.0,35.0,2.62,-0.18,2.44,118.4,115.8,2.6,99.9,0.27,0.43,0.601,0.568,11.5,21.8,0.209,0.539,10.6,77.2,0.189,740850.0,17659.0,1,0.5975609756097561,82.0,241.5,43.1,88.5,0.487,14.2,38.1,0.373,29.0,50.4,0.574,18.5,23.9,0.774,9.4,34.8,44.2,26.5,6.8,5.0,12.9,19.2,119.0,82.0,241.5,43.2,91.9,0.47,12.6,35.3,0.356,30.6,56.6,0.541,17.4,21.5,0.807,10.3,33.7,44.0,26.5,7.1,4.2,12.0,19.2,116.4,600.0,0.54,0.631578947368421,10.0,0.5263157894736842,19.0,0.7380952380952381,0.45,0.4,0.6097560975609756,0.625,0.5384615384615384,0.6538461538461539,0.5,3.865,2.243,1.219,0.21000000000000002,1.198,0.02,14.0,10.0,3.0,2.0,1.0,1.0,1.0,0.0,6.0,6.0,682.0,1.5839999999999999,3.5589999999999997,26.0625,6.0,1.5625,13.0,19.875,22.8125,5.0,8.8334625,45.959055,0.0,0.0,0.47131129276640116,0.47154471544715443,-0.9813333333333333,26.453333333333333,0.0625,1.5,2.4375,2.75,4.0,3.0,1.0,12.0,1,1,1,0
2024,Phoenix Suns,24,West,Kevin Durant,0.0,0.0,9,11,Footprint Center,6.0,0,29.3,49.0,33.0,49.0,33.0,3.06,0.02,3.08,117.6,114.6,3.0,98.3,0.271,0.378,0.603,0.565,13.4,25.0,0.219,0.536,11.3,75.6,0.178,699911.0,17071.0,1,0.5975609756097561,82.0,241.2,42.5,86.1,0.493,12.4,32.6,0.382,30.0,53.6,0.561,18.9,23.4,0.808,10.1,33.9,44.1,27.0,7.4,6.0,14.9,18.0,116.2,82.0,241.2,42.0,90.6,0.464,13.1,36.0,0.364,28.9,54.6,0.529,16.1,20.8,0.774,11.0,30.4,41.3,26.3,8.4,4.5,12.7,19.7,113.2,600.0,0.5283018867924528,0.4,7.0,0.5652173913043478,23.0,0.6097560975609756,0.5853658536585366,0.5714285714285714,0.6744186046511628,0.6,0.5925925925925926,0.6666666666666666,0.5576923076923077,3.5060000000000002,0.016,1.1960000000000002,1.8519999999999999,0.5800000000000001,0.0,13.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,7.0,0.0,508.0,0.217,0.307,18.75,2.0,1.375,5.5,10.1875,14.6875,2.0,10.13614882352941,27.86405,88.0,0.444,0.5246162277620078,0.5284552845528455,0.9813333333333335,26.293333333333333,0.375,1.6875,1.6875,1.6875,6.0,8.0,5.0,8.0,0,1,1,0
2024,New Orleans Pelicans,19,West,Zion Williamson,0.0,0.0,6,11,Smoothie King Center,6.0,0,26.0,49.0,33.0,52.0,30.0,4.41,0.05,4.46,117.4,112.9,4.5,97.9,0.261,0.373,0.591,0.558,11.8,24.4,0.202,0.541,12.9,76.9,0.186,692054.0,17301.0,1,0.5975609756097561,82.0,240.3,42.5,87.4,0.486,12.5,32.6,0.383,30.0,54.8,0.548,17.6,22.8,0.771,10.4,33.6,44.0,27.0,8.3,4.6,13.0,18.4,115.1,82.0,240.3,40.5,87.3,0.464,13.5,38.7,0.349,26.9,48.5,0.555,16.2,20.7,0.783,10.1,32.2,42.3,26.8,6.5,5.2,14.2,18.4,110.7,4000.0,0.5283018867924528,0.5,16.0,0.4,15.0,0.525,0.6666666666666666,0.125,0.64,0.6,0.5925925925925926,0.6333333333333333,0.5769230769230769,0.0,0.0,0.28500000000000003,0.0,1.548,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,205.0,0.0,0.0,6.375,0.0,0.8125,2.875,3.4375,5.8125,0.0,12.978026315789474,25.42,6.0,0.002,0.5246162277620078,0.5284552845528455,0.9813333333333335,26.293333333333333,0.0,0.125,0.125,0.4375,11.0,13.0,11.0,5.0,0,1,1,1
